"Bin","TaxonRelativeAbundance","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bin21",7.56537238275942e-07,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Dinophyceae","unclassified_c__Dinophyceae","unclassified_c__Dinophyceae","unclassified_c__Dinophyceae","unclassified_c__Dinophyceae"
"Bin44",1.82440675316418e-06,"Eukaryota","Fungi","Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota","unclassified_p__Ascomycota"
"Bin59",7.56537238275942e-07,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin58",1.15706476253925e-05,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin37",1.77066392427351e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota","unclassified_p__SAR_d__Eukaryota"
"Bin51",1.1092933215546e-06,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"Bin6",1.13480585741391e-06,"Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota","unclassified_d__Eukaryota"
"Bin75",3.2419176252508e-06,"Eukaryota","norank_d__Eukaryota","SAR_d__Eukaryota","Glissomonadida","norank_c__Glissomonadida","norank_c__Glissomonadida","unclassified_f__norank_c__Glissomonadida","unclassified_f__norank_c__Glissomonadida"
"Bin39",3.82552824301792e-06,"Eukaryota","Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi","unclassified_k__Fungi"
"Bin65",1.50669478617344e-05,"Eukaryota","Fungi","Basidiomycota","Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes","unclassified_c__Agaricomycetes"
