SpeciesID	S1_10B	S2_10Z	S3_10D	S4_11B	S5_11Z	S6_11D	S7_12B	S8_12Z	S9_12D	S10_1B	S11_1Z	S12_1D	S13_2B	S14_2Z	S15_2D	S16_3B	S17_3Z	S18_3D	S19_4B	S20_4Z	S21_4D	S22_5B	S23_5Z	S24_5D	S25_6B	S26_6Z	S27_6D	S28_7B	S29_7Z	S30_7D	S31_8B	S32_8Z	S33_8D	S34_9B	S35_9Z	S36_9D
OTU879	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	9	0	0	0	1
OTU880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU883	0	0	22	98	42	116	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU885	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	0	1	0	1	2	3	0	14	11	41	19	11	62	110	3	1	5	0	0	3
OTU886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU887	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU888	0	2	0	0	2	0	1	1	4	1	0	0	0	0	0	4	1	4	0	2	0	0	0	1072	0	8577	1676	66	947	1051	1	4	41	6	9	95
OTU889	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	11	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU891	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU892	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	145
OTU894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU895	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	8	9	14	8
OTU896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	88	45	206	0	1	0	2	15	14
OTU897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU899	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU900	0	0	0	0	83	0	0	0	0	0	0	0	0	0	21	0	0	0	0	3	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU901	0	0	0	4	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU902	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	25	0	11	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU903	0	1	0	0	5	0	8	0	0	0	0	0	4	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	9	6	9	1	2
OTU904	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU905	0	0	0	0	4	2	3	0	0	0	0	0	0	0	0	1	0	8	1	4	2	0	2	4	0	2	1	0	12	1	0	0	0	0	1	2
OTU906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	16	42	8	2	11	3	0	2	0	0	2	2	0	0	0	3	0	2
