OTU ID	Domain	Phylum	Class	Order	Family	Genus
OTU8157	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	unclassified_o__Lysobacterales	unclassified_o__Lysobacterales
OTU8158	Bacteria	Chloroflexota	KD4-96	norank_c__KD4-96	norank_c__KD4-96	norank_c__KD4-96
OTU8159	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia
OTU8160	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Siphonobacter
OTU8161	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter
OTU8162	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	norank_o__Chloroplast	norank_o__Chloroplast
OTU8163	Bacteria	Planctomycetota	Phycisphaerae	unclassified_c__Phycisphaerae	unclassified_c__Phycisphaerae	unclassified_c__Phycisphaerae
OTU8164	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	norank_f__Vermiphilaceae
OTU8165	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	norank_f__Vermiphilaceae
OTU8166	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Allorhizocola
OTU8167	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia
OTU8168	Bacteria	Bacillota	Clostridia	unclassified_c__Clostridia	unclassified_c__Clostridia	unclassified_c__Clostridia
OTU8169	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	norank_f__Xanthobacteraceae
OTU8170	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
OTU8171	Bacteria	Patescibacteria	CPR2	norank_c__CPR2	norank_c__CPR2	norank_c__CPR2
OTU8172	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	unclassified_o__Hyphomicrobiales	unclassified_o__Hyphomicrobiales
